Year,CNRM-CM5_rcp45
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,2
1959,2
1960,1
1961,1
1962,2
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,2
1970,2
1971,1
1972,1
1973,2
1974,1
1975,1
1976,1
1977,1
1978,2
1979,1
1980,1
1981,1
1982,1
1983,1
1984,2
1985,1
1986,2
1987,2
1988,2
1989,1
1990,1
1991,1
1992,1
1993,1
1994,2
1995,1
1996,1
1997,1
1998,1
1999,2
2000,2
2001,2
2002,1
2003,1
2004,1
2005,2
2006,2
2007,2
2008,1
2009,1
2010,1
2011,1
2012,2
2013,1
2014,1
2015,2
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,2
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,2
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,2
2041,1
2042,2
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,2
2053,2
2054,1
2055,1
2056,1
2057,1
2058,2
2059,1
2060,1
2061,2
2062,2
2063,1
2064,2
2065,2
2066,2
2067,2
2068,2
2069,1
2070,1
2071,1
2072,2
2073,1
2074,1
2075,1
2076,2
2077,1
2078,1
2079,1
2080,2
2081,1
2082,1
2083,1
2084,1
2085,1
2086,2
2087,1
2088,1
2089,2
2090,2
2091,1
2092,1
2093,2
2094,2
2095,1
2096,1
2097,1
2098,1
2099,1
2100,2
